주요내용,주요내용_정제,지역,원본행,세부사업명,판정,판정근거
미숙아및 선천성이상아 가정의 의료비 과다 지출로인한 치료포기 발생 방지로 영아 사망 예방,미숙아 및 선천성이상아 가정의 의료비 과다 지출로 인한 치료포기 발생 방지로 영아 사망 예방,울산,2650,미숙아 및 선천성이상아 의료비 지원,공백 정리,공백 제거 후 문자열 동일
노인일자리 사화활동을 확대 지원하여 활력있는 노후생활 지원,노인일자리 사회활동을 확대 지원하여 활력있는 노후생활 지원,울산,2665,노인 일자리 사업을 통한 노년기 소득 보장,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
의사결정능력 부족으로 어려움을 겪고있는 치매노인에게 성년후견제도 이용 지원,의사결정능력 부족으로 어려움을 겪고 있는 치매노인에게 성년후견제도 이용 지원,울산,2671,치매공공후견사업,공백 정리,공백 제거 후 문자열 동일
근로･사업소득이 있는 청년(15~39세) 생계수급자 중 총 근로･사업소득이기준 중위소득 20%이상 - 근로소득공제액(10만원)+정부지원금(월평균 31만원)+민간장려금(2만원),근로･사업소득이 있는 청년(15~39세) 생계수급자 중 총 근로･사업소득이 기준 중위소득 20% 이상 - 근로소득공제액(10만원)+정부지원금(월평균 31만원)+민간장려금(2만원),울산,2686,청년희망키움통장 지원사업,공백 정리,공백 제거 후 문자열 동일
창업초기 청년어업인의 앙ㄴ정적인 어촌 정착 지원,창업초기 청년어업인의 안정적인 어촌 정착 지원,울산,2690,청년어촌정착지원 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"저출산 현장 극복캠페인, 울 산 ‘100인의 아빠단’ 운영.저출산 극복 사회연대회의 정기회의 등","저출산 현장 극복캠페인, 울산 ‘100인의 아빠단’ 운영.저출산 극복 사회연대회의 정기회의 등",울산,2694,저출산 고령사회 대비 국민인식개선 사업,공백 정리,공백 제거 후 문자열 동일
"직장내 성희롱, 성폭령, 성매매, 가정폭력 제로위한 교육, 쳬계마련","직장내 성희롱, 성폭력, 성매매, 가정폭력 제로위한 교육, 체계마련",울산,2725,(울주군) 성희롱･성폭력･성매매･가 정폭력 제로,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
가족해체 등의 사유로 양육할 수 없는 상황에서 아동양육을 지원함으로써 건전한 사회인으로 성잘할 수 있도록 지원,가족해체 등의 사유로 양육할 수 없는 상황에서 아동양육을 지원함으로써 건전한 사회인으로 성장할 수 있도록 지원,울산,2731,가정위탁아동 보호,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"치매 조호물품 제공 1년이 경과한 기준중위소득 120% 이하(기초생활수급자 및 차상위계층대상자 제외) 어르신 조호물품 (기저귀, 물티슈 등) 지원","치매 조호물품 제공 1년이 경과한 기준중위소득 120% 이하(기초생활수급자 및 차상위계층대상자 제외) 어르신 조호물품(기저귀, 물티슈 등) 지원",울산,2809,(울주군) 치매 어르신 조호물품 택배서비스 지원,공백 정리,공백 제거 후 문자열 동일
"고령화 적극대응, 회원자격 유지를위한 모니터링 및 피드백","고령화 적극대응, 회원자격 유지를 위한 모니터링 및 피드백",울산,2812,고령친화도시 조성사업,공백 정리,공백 제거 후 문자열 동일
"남구체육회 종목단체 소속 어르신 대상, 대최 출전 및 운동용품 지원","남구체육회 종목단체 소속 어르신 대상, 대회 출전 및 운동용품 지원",울산,2817,(남구) 어르신 체육활동 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지역 청년창업자를 발굴하여 창업및 일자리 제공,지역 청년창업자를 발굴하여 창업 및 일자리 제공,울산,2851,청년CEO 육성사업,공백 정리,공백 제거 후 문자열 동일
"관내 초･중･고 대상, 학교-지자체가 협력하여 마을결합형 교육 사업 운영","관내 초·중·고 대상, 학교-지자체가 협력하여 마을결합형 교육 사업 운영",울산,2852,(남구) 서로나눔 교육지구 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"우수 예비, 초기 창업자 발굴 및 교육, 활동비 지원","우수 예비초기 창업자 발굴 및 교육, 활동비 지원",울산,2869,(울주군) 청년창업아카데미 운영,원문 유지,"'예비, 초기' 사이 구분자를 삭제해 대상 범위가 달라질 수 있음"
"임산부, 출산부에게 친환경농사물 꾸러미를 연 48만원 수준으로 공급","임산부, 출산부에게 친환경농산물 꾸러미를 연 48만원 수준으로 공급",세종,2939,임산부 친환경농산물 꾸러미 지원(신규),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
기준 중위소득 150% 초과~180%미만 가정 산모신생아 건강관리사 파견 지원,기준 중위소득 150% 초과~180% 미만 가정 산모신생아 건강관리사 파견 지원,세종,2969,맘편한 산후조리지원 사업,공백 정리,공백 제거 후 문자열 동일
출산축하금 120만운 지역화폐 지급,출산축하금 120만 원 지역화폐 지급,세종,2970,출산축하금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
육아 휴직 사용문화 확산,육아휴직 사용문화 확산,세종,2984,육아휴직 사용 문화 정착,공백 정리,공백 제거 후 문자열 동일
관내 경로당 활성화 프로그랭 운영 및 경로당 필요물품 지원,관내 경로당 활성화 프로그램 운영 및 경로당 필요물품 지원,세종,3000,경로당 활성화 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
가족복지의 원할한 업무 추진과 함께 센터 내 직원 사기 증진을 위한 종사자 처우개선,가족복지의 원활한 업무 추진과 함께 센터 내 직원 사기 증진을 위한 종사자 처우개선,세종,3036,건강가정다문화가족지원 센터 운영 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
학생 생명존중교육 자료 개발 및 생명살림위원회 운영 등,학생생명존중교육 자료 개발 및 생명살림위원회 운영 등,경기,3086,학생생명존중교육 운영,공백 정리,공백 제거 후 문자열 동일
"상담원 도인건비 추가 및 종사자 시간외근무수당 지원, 종사자 특수근무수당 및 처우개선비 지원, 도직접기관 1개소 차량 임차료 지원","상담원도인건비 추가 및 종사자 시간외근무수당 지원, 종사자 특수근무수당 및 처우개선비 지원, 도직접기관 1개소 차량 임차료 지원",경기,3136,아동보호전문기관 운영,공백 정리,공백 제거 후 문자열 동일
둘째 이상 출샨갸정 또는 첫째자녀 이상 입양가정에 출산지원금 지급,둘째 이상 출산가정 또는 첫째자녀 이상 입양가정에 출산지원금 지급,경기,3151,수원시 출산･입양지원금 지급,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
장아아통합(전문) 지정 어린이집 확대 및 지정어린이집 보조금 지급,장애아통합(전문) 지정 어린이집 확대 및 지정어린이집 보조금 지급,경기,3154,장애아통합어린이집 확대,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
임산부 건강관리 능력향상을 위한 임산부 건강 프로그램 운영,임산부건강관리 능력향상을 위한 임산부 건강 프로그램 운영,경기,3289,임산부건강관리 프로그램,공백 정리,공백 제거 후 문자열 동일
"평가인증 받은 어린이집에 0세아 전용 어린이집 운영지원, 우수축산물 차액 지원등 보조금 지원 통해 보육의 질 제고","평가인증 받은 어린이집에 0세아 전용 어린이집 운영지원, 우수축산물 차액 지원 등 보조금 지원 통해 보육의 질 제고",경기,3349,평가인증어린이집 보육지원,공백 정리,공백 제거 후 문자열 동일
관내 출산 산모에게 산모 신생아 건강관리사 지원,관내 출산 산모에게 산모신생아 건강관리사 지원,경기,3374,산모신생아 건강관리사 지원,공백 정리,공백 제거 후 문자열 동일
특별교퉁수단 이용대상 포함(임산부 대상),특별교통수단 이용대상 포함(임산부 대상),경기,3377,임산부 이동 지원 (착한수레),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"지원대상 : 출생신고된 아동 중, 출생일 또는 입양일을 기준으로 보호자가 180일 이전부터 광주시에 주민등록을 두고 있는 첫째 이상의 자녀 사업내용 첫째아 : 300천원 둘째아 : 500천원 - 셋째아 : 1,000천원","지원대상 : 출생신고된 아동 중, 출생일 또는 입양일을 기준으로 보호자가 180일 이전부터 광주시에 주민등록을 두고 있는 첫째 이상의 자녀 사업내용 첫째아 : 300천원 둘째아 : 500천원 셋째아 : 1,000천원",경기,3469,출산장려금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
다자녀지원정책(쓰레기봉투 지원사업),다자녀지원정책(공영주차장 주차요금 할인),경기,3509,다자녀지원정책(공영주차 장 주차요금 할인),원문 유지,쓰레기봉투 지원 내용이 사업명의 주차요금 할인 내용으로 치환됨
유치원 종일반 운영지원통해 학부모 부담경감,유치원 종일반 운영지원을 통해 학부모 부담경감,경기,3530,지역아동센터 운영 내실화,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"오산지역의 보육허브 역할을 위해 어린이집 미 이용 영유아-부모에게 육아 프로그램, 부모교육, 전문상담, 육아정보 등 제공","오산지역의 보육허브 역할을 위해 어린이집 미이용 영유아-부모에게 육아 프로그램, 부모교육, 전문상담, 육아정보 등 제공",경기,3580,아이사랑놀이터 운영비 지원,공백 정리,공백 제거 후 문자열 동일
회천청소년문화의 집 운영,회천청소년문화의집 운영,경기,3615,청소년 수련시설 (청소년문화의집) 확충 운영,공백 정리,공백 제거 후 문자열 동일
"예산규모 : 3800천원 사업대상 : 입양 신고일을 기준으로 6개월 이상 주민등록을 두 실제 거주하는 입양아동 중 초,중,고등학교 신입생을 양육하는 입양가구 사업규모 : 약 10명 지원내용 : 초등학교 신입생 200천원 / 중･고등학교 신입생 500천원","예산규모 : 3800천원 사업대상 : 입양 신고일을 기준으로 6개월 이상 주민등록을 두고 실제 거주하는 입양아동 중 초,중,고등학교 신입생을 양육하는 입양가구 사업규모 : 약 10명 지원내용 : 초등학교 신입생 200천원 / 중･고등학교 신입생 500천원",경기,3659,입양아동 입학축하금,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"(기존) 출생일 기준 6개월 이상 포천시에 주민등록을 두고 실제 거주한 출산가정의 출산장려금 지급, 둘째아부터 지원 (변경) 출생일 기준 1년 이전부터 포천시에 주민등록을 두고 실제 거주하는 출산가정의 출산축하금 확대 지원, 첫째아부터 지원","출생일 기준 6개월 이상 포천시에 주민등록을 두고 실제 거주한 출산가정의 출산장려금 지급, 둘째아부터 지원",경기,3665,출산장려금 지원,원문 유지,변경된 지원 조건 문단 전체가 삭제됨
양평어린이 건강놀이터 운영,양평 어린이 건강놀이터 운영,경기,3698,양평 어린이 건강놀이터 운영,공백 정리,공백 제거 후 문자열 동일
출산 후 가정에 1년 동안 대면 및 비대면건강관리 서비스 제공 산모 및 영아 건강관리 맞춤형 교육 및 상담 필요 시 보건소 내 보건복지 서비스 연계 제공 출산.돌 축하용품 제공,출산 후 가정에 1년 동안 대면 및 비대면건강관리 서비스 제공 산모 및 영아 건강관리 맞춤형 교육 및 상담 필요 시 보건소 내 보건복지 서비스 연계 제공 출산돌 축하용품 제공,경기,3722,모자보건증진 원스톱 방문서비스,원문 유지,'출산.돌'의 구분자가 삭제되어 모호한 표현이 됨
지원대상 : 초등학생 자녀를 포함 한 가족 32가정 지원내용 : 관내 문화탐방 및 글램핑 활동,지원대상 : 초등학생 자녀를 포함한 가족 32가정 지원내용 : 관내 문화탐방 및 글램핑 활동,경기,3733,자녀와 함께하는 문화유적답사,공백 정리,공백 제거 후 문자열 동일
관내 180일 이상 거주한 입양가정 및 출산 가정에 출산.입양장려금 지원,관내 180일 이상 거주한 입양가정 및 출산 가정에 출산·입양장려금 지원,경기,3766,출산･입양장려금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
행사 및 다양한 프로그램을 통한 놀이와 체험으로 아이들과 가족들이 함게하는 참여형 온/오프라인 어린이날 축제 개최,행사 및 다양한 프로그램을 통한 놀이와 체험으로 아이들과 가족들이 함께 하는 참여형 온/오프라인 어린이날 축제 개최,경기,3771,과천 어린이 축제,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 관내65세 이상 노인 사업내용 : 건강동아리 구성을 통한 건강증진프로그램 운영,지원대상 : 관내 65세 이상 노인 사업내용 : 건강동아리 구성을 통한 건강증진프로그램 운영,경기,3903,경로당 중심 노인건강증진사업,공백 정리,공백 제거 후 문자열 동일
효 인성 문화 정착으로 고령사회 문제해결과 지역사회 발전에 이바지,"효문화 지원사업
효 인성 문화 정착으로 고령사회 문제해결과 지역사회 발전에 이바지",경기,3944,효문화 지원사업,원문 유지,사업명이 정제문장 앞에 추가됨
"노인들의 자율적인 친목도모. 취미활동, 정보교환 및 여가활동 등을 할 수 있는 건전한 노인여가복지시설인 경로당의 원활한 운영지원",노인복지시설의 원활한 운영지원,경기,3957,경로당 운영비 지원,원문 유지,친목·취미·정보교환·여가활동 설명이 요약·삭제됨
주간보호센터및 노인일자리전담기관을 설치하여 요양서비스제공 및 노인일자리사업믜 전문성 제고,주간보호센터 및 노인일자리전담기관을 설치하여 요양서비스제공 및 노인일자리사업 전문성 제고,경기,4004,과천 행복드림센터 건립,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
고양여성인력개발센터의 직업교육훈련 수료생의 취.창업 및 실전참여 기회 제공,고양여성인력개발센터의 직업교육훈련 수료생의 취창업 및 실전참여 기회 제공,경기,4061,호호 성공 페스티벌,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"관내 무주택 신혼부부(기준중위소득 180%이하, 전세보증금3억원이하 주택거주자, 신혼부부-7년이내혼인신고)에게 주택전세보증금 대출잔액의 1%내에서 최대100만원 지원","관내 무주택 신혼부부(기준중위소득 180%이하, 전세보증금 3억원이하 주택거주자, 신혼부부-7년이내혼인신고)에게 주택전세보증금 대출잔액의 1%내에서 최대100만원 지원",경기,4072,신혼부부 전세자금 대출이자 지원사업,공백 정리,공백 제거 후 문자열 동일
경로당 어르신 대상의 방문 웰 에이징 교육 (총 6회 12시간.) 이었으나 전염병 확산에 따른 조치로 2021년언 학습꾸러미사업으로 전환진행 (어르신 208명 진행),경로당 어르신 대상의 방문 웰 에이징 교육 (총 6회 12시간.) 이었으나 전염병 확산에 따른 조치로 2021년 학습꾸러미사업으로 전환진행 (어르신 208명 진행),경기,4137,경로당 평생교육 그린나래 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"교육학습동아리 역량강화 컨섩팅, 지원공모사업, 전시회, 가가호호 포그젝트, 워크숍, 재능장터 운영 등","교육학습동아리 역량강화 컨설팅, 지원공모사업, 전시회, 가가호호 프로젝트, 워크숍, 재능장터 운영 등",경기,4236,평생학습 동아리 활성화,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
다자녀 가정 수강료 면제를 통한 혜택부여,다자녀가정 수강료 면제를 통한 혜택부여,경기,4261,다자녀가정 평생학습관 수강료 면제,공백 정리,공백 제거 후 문자열 동일
중고등학교 신입생 교복비 1인 30만원 이내 지원,중･고등학교 신입생 교복비 1인 30만원 이내 지원,경기,4268,중･고등학교 신입생 교복비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"빈집 정비 보조금 지원(철거, 보수, 안전조치비) 빈집 매입 활용 사업(빈집 매입 후 임대주택 건설 등) / 2021년도에 총사업비 65억원 전액 출자금으로 지급완료되어 2023년 까지 GH공사에서 사업시행","빈집 정비 보조금 지원(철거, 보수, 안전조치비) 빈집 매입 활용 사업(빈집 매입 후 임대주택 건설 등) / 2021년도에 총사업비 65억원 전액 출자금으로 지급완료되어 2023년까지 GH공사에서 사업시행",경기,4370,주택수급체계 조정 (빈집의 효율적 관리활용),공백 정리,공백 제거 후 문자열 동일
결혼･ 출산 및 가족에 대한 합리적인 가치관을 형성할 수 있는 교육을 실시하여 인구위기 대응,결혼･출산 및 가족에 대한 합리적인 가치관을 형성할 수 있는 교육을 실시하여 인구위기 대응,경기,4393,인구교육 팝업북 제작,공백 정리,공백 제거 후 문자열 동일
"지역주민 누가나 참여가능한 걷기프로그램 운영, 걷기활성화를 위한 기초 마련","지역주민 누구나 참여가능한 걷기프로그램 운영, 걷기활성화를 위한 기초 마련",경기,4444,변화된 생활에서 만나는 건강한 삶 ‘워킹투게더 시흥’,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
가족의 유형별로 이원화 되어 있는 가족지원서비스를 가족의 유형에 상관없이 한곳에서 다양한 가족게 대한 보편적이고 포괄적인 서비스 제공,가족의 유형별로 이원화 되어 있는 가족지원서비스를 가족의 유형에 상관없이 한곳에서 다양한 가족에 대한 보편적이고 포괄적인 서비스 제공,경기,4525,가족기능강화지원사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"아동발달 지원계좌 지원 : 3,672명","아동발달지원계좌 지원 : 3,672명",강원,4624,아동발달지원계좌 지원(CDA 매칭지원금),공백 정리,공백 제거 후 문자열 동일
보육의 공공성 강화를 위한 민간 어린이집 의 보육교직원 수당 지원(월3~10만원 차등),보육의 공공성 강화를 위한 민간 어린이집 보육교직원 수당 지원(월3~10만원 차등),강원,4729,민간보육시설 보육교사 장기근속수당지급,원문 유지,조사 '의'가 삭제됐으며 두 표현 모두 가능해 교정 여부가 불명확
맞벌이 등의 사유로 양육공백이 발생한 가정에게 아이 돌봄 서비 제공으로 부모의 양육부담 경감 및 가족구성원의 삶의 질 향상에 이바지,맞벌이 등의 사유로 양육공백이 발생한 가정에게 아이 돌봄 서비스 제공으로 부모의 양육부담 경감 및 가족구성원의 삶의 질 향상에 이바지,강원,4761,아이돌봄 본인부담금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"어린이집 운영비 지원 목표 어린이집 운영비 지원으로 시설운영 부담경감 도모 어린이집 종사자 근무환경 개선 및 업무능력 향상 도모 근거 : 영유아보육법 제36조, 인제군 영유아보육조례 제 21조 내용 어린이집 종사자 장기근속 수당 지원 평가인증어린이집 환경개선비 지원 시간제 보조교사 인건비 지원 어린이집 차량운행비 지원 어린이날 행사 지원 절차 : 보육통합시스템을 통한 신청 → 지급(수당 및 보조금) 지원대상 : 어린이집22개소, 어린이집연합회","어린이집 운영비 지원 목표 어린이집 운영비 지원으로 시설운영 부담경감 도모 어린이집 종사자 근무환경 개선 및 업무능력 향상 도모 근거 : 영유아보육법 제36조, 인제군 영유아보육조례 제21조 내용 어린이집 종사자 장기근속 수당 지원 평가인증어린이집 환경개선비 지원 시간제 보조교사 인건비 지원 어린이집 차량운행비 지원 어린이날 행사 지원 절차 : 보육통합시스템을 통한 신청 → 지급(수당 및 보조금) 지원대상 : 어린이집22개소, 어린이집연합회",강원,4773,어린이집 운영지원,공백 정리,공백 제거 후 문자열 동일
어린이집의 안전한 통확환경제공을 위한 통학차량 동승자 인건비 지원(1일 2시간),어린이집의 안전한 통학환경제공을 위한 통학차량 동승자 인건비 지원(1일 2시간),강원,4778,어린이집 통학차량 등･하원 안전 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
인제군 셋째아 이상 출생아 에게 3만원 이내의 건강보험료 지원,인제군 셋째아 이상 출생아에게 3만원 이내의 건강보험료 지원,강원,4836,셋째이상 출생아 건강보험료 지원,공백 정리,공백 제거 후 문자열 동일
첫째아 출산가정 쓰레기 종량제 봉토 지원,첫째아 출산가정 쓰레기 종량제 봉투 지원,강원,4858,첫째아 출산가정 쓰레기 종량제 봉투지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"보건소에 등록한 임산부에게 7만원권 임신축하금(지역화폐) 출산가정에 출산꾸러비 지원 (소고기, 미역, 신생아 목욕용품)","보건소에 등록한 임산부에게 7만원권 임신축하금(지역화폐) 출산가정에 출산꾸러미 지원 (소고기, 미역, 신생아 목욕용품)",강원,4865,임신 및 축하기념품지원 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"출산 가정의 부･모 출산양육비 출생순위별 차등 지원 (첫째아 50만원, 둘쨍 100만원, 셋째아 이상 360만원)","출산 가정의 부･모 출산양육비 출생순위별 차등 지원 (첫째아 50만원, 둘째아 100만원, 셋째아 이상 360만원)",강원,4868,출산양육비 지원 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
출산가정에 출산지원금 지급 미혼모 임신출산 의료비 지원 정(난)관 복원 시술비 지원,출산가정에 출산지원금 지급 미혼모 임신출산 의료비 지원 정관 복원 시술비 지원,강원,4871,출산장려지원사업,원문 유지,'정(난)관'이 '정관'으로 바뀌어 지원 범위가 달라짐
노인들이 활용 가증한 학교체육시설 개방,노인들이 활용 가능한 학교체육시설 개방,강원,4956,노인운동 사업 활성화(비예산),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
건강한 노년생활을 위한 선제적 통합맞춤형 노인겅강관리 프로그램 운영,건강한 노년생활을 위한 선제적 통합맞춤형 노인건강관리 프로그램 운영,강원,4969,평창군 특화 노쇠예방 관리사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
어르신 체조경연대회 개최,어르신 체조 경연대회 개최,강원,4973,어르신 건강체조 경연대회,공백 정리,공백 제거 후 문자열 동일
"등학교 동아리 운영시 강사료, 재료비, 체험비, 보험료, 차량임차료 지원","고등학교 동아리 운영시 강사료, 재료비, 체험비, 보험료, 차량임차료 지원",강원,5038,관내 고등학교 동아리 운영지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
반려동물 전문인력 약성 교육 관련 비용 지원,반려동물 전문인력 양성 교육 관련 비용 지원,강원,5042,반려동물 전문인력 양성,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지역인적인프로 확충을 위한 관내 취업시험 대비반 운영,지역인적프로 확충을 위한 관내 취업시험 대비반 운영,강원,5072,취업대비반 운영,원문 유지,불명확한 원문을 임의로 삭제했지만 정제문장도 의미가 불분명
근로자 일자리 제공 및 구인 사업체 인력수급을 위한 구직자･구인사업체 매칭 서비스,근로자 일자리 제공 및 구인 사업체 인력수급을 위한 구직자·구인사업체 매칭 서비스,강원,5074,일자리지원센터 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
2022년 1월 1일이후 출생아 전부 200만원 바우처 지급,2022년 1월 1일 이후 출생아 전부 200만원 바우처 지급,충북,5204,첫만남이용권 지원,공백 정리,공백 제거 후 문자열 동일
의료취약지역에 지속적인 산전진찰 서비스를 제공하여임산부와 태아의 건강을 체계적으로 관리,의료취약지역에 지속적인 산전진찰 서비스를 제공하여 임산부와 태아의 건강을 체계적으로 관리,충북,5235,찾아가는 산부인과 운영 지원,공백 정리,공백 제거 후 문자열 동일
대상 : 다문화 학생 및 학부모 내용 : 다문화가족의 안정정 정착 및 사회참여 확대 지원,대상 : 다문화 학생 및 학부모 내용 : 다문화가족의 안정적 정착 및 사회참여 확대 지원,충북,5283,다문화가족의 안정적 정착 및 사회참여 확대,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"아동양욱시설(진여원) 인건비, 운영비 지원","아동양육시설(진여원) 인건비, 운영비 지원",충북,5335,아동복지시설 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"임산부 혈액검사, 철분제 지급 기형아 및 풍진검사비 지원, 영유아 빈혈검사 해피마미 교실 운영 출산육아용품 지원","임산부 혈액검사, 철분제 지급, 기형아 및 풍진검사비 지원, 영유아 빈혈검사, 해피마미 교실 운영, 출산육아용품 지원",충북,5381,임산부･영유아･출산관리 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
어린이집에 동하절기 냉난방비 지원 (관내어린이집 15개소),어린이집 동하절기 냉난방비 지원 (관내어린이집 15개소),충북,5417,어린이집 냉･난방비 지원,원문 유지,문맥상 유효한 조사 '에'를 삭제함
정부미지원어린이집 5개소 정부미지원어린이집을이용하는 유아 (만3~5세)아동에게 차액보육료 지원,정부미지원어린이집 5개소 정부미지원어린이집을 이용하는 유아 (만3~5세) 아동에게 차액보육료 지원,충북,5418,어린이집 차액보육료 지원,공백 정리,공백 제거 후 문자열 동일
영동군관내 주소지 출산부에게산모신생아 건강관리 서비스비용90%지원,영동군관내 주소지 출산부에게 산모신생아 건강관리 서비스 비용 90% 지원,충북,5432,산모신생아 산후조리 서비스 비용 지원,공백 정리,공백 제거 후 문자열 동일
"관내 어린이집에 냉,난방비(4개월)지원",관내 어린이집에 냉난방비(4개월)지원,충북,5437,어린이집 냉난방비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
우수 농산물 식재료 공읍을 통한 학교급식의 질 개선,우수 농산물 식재료 공급을 통한 학교급식의 질 개선,충북,5465,학교급식 친환경농축산물 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"사업대상 : 단양군 관내 2020년 10월 1일 이후 출생의 유아가 있는 가족 사 업 비 : 36,000천원(묘목구입:26,000천원/ 식재: 10,000천원) 지원내용 : 탄생목 식재 묘목 및 식수 기념 이름표 및 식재지원","사업대상 : 단양군 관내 2020년 10월 1일 이후 출생의 유아가 있는 가족 사업비 : 36,000천원(묘목구입:26,000천원/ 식재: 10,000천원) 지원내용 : 탄생목 식재 묘목 및 식수 기념 이름표 및 식재지원",충북,5496,2022년 탄생목 지원사업,공백 정리,공백 제거 후 문자열 동일
대 상 자 : 관내 주민등록된 출생아(출생 후 1년 이내 신청 가능) 수혜인원 : 50명 정도,대상자 : 관내 주민등록된 출생아(출생 후 1년 이내 신청 가능) 수혜인원 : 50명 정도,충북,5500,출산축하 액자발급,공백 정리,공백 제거 후 문자열 동일
"경로식당봉사, 도시락배달봉사, 주차 및 안내봉사등 노인 봉사활동 활성화 지원","경로식당봉사, 도시락배달봉사, 주차 및 안내봉사 등 노인 봉사활동 활성화 지원",충북,5527,노인봉사활동 지원,공백 정리,공백 제거 후 문자열 동일
지역사회의 효 문화 확산과 경로효친의 건전한 가족제도 분위기를 조성을 위한 지원,지역사회의 효 문화 확산과 경로효친의 건전한 가족제도 분위기 조성을 위한 지원,충북,5587,효행장려금,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"만 80세 이상 직계존속(효도대상자)과 직계비속 이 주민등록상 동일 세대 내에 함께 거주하는 3세대 이상 가정의 효도대상자를 부양하는 사람에게 월 50,000원 지급","만 80세 이상 직계존속(효도대상자)과 직계비속이 주민등록상 동일 세대 내에 함께 거주하는 3세대 이상 가정의 효도대상자를 부양하는 사람에게 월 50,000원 지급",충북,5598,효도수당 지원,공백 정리,공백 제거 후 문자열 동일
목적 :  우수한 창업기업(기업가) 발굴 육성 대상 :  도내 만20세~39세 이하 신규 및 창업 3년 이내인자 주요내용 :  청년 창업지원자금 융자지원 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 우수한 창업기업(기업가) 발굴 육성 대상 : 도내 만20세~39세 이하 신규 및 창업 3년 이내인자 주요내용 : 청년 창업지원자금 융자지원 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5613,청년 창업지원자금 융자지원,공백 정리,공백 제거 후 문자열 동일
목적 :  미취업 청년연구자의 안정적 연구 환경 지원 대상 :  도내 만45세 이하 박사학위 소지자 및 박사과정 수료자 주요내용 :  지역문제 해결을 위한 정책 연구 수행 전달체계 :  충청북도 → 충북연구원,목적 : 미취업 청년연구자의 안정적 연구 환경 지원 대상 : 도내 만45세 이하 박사학위 소지자 및 박사과정 수료자 주요내용 : 지역문제 해결을 위한 정책 연구 수행 전달체계 : 충청북도 → 충북연구원,충북,5614,청년연구자 역량강화 지원 사업,공백 정리,공백 제거 후 문자열 동일
